Temperature - (Celsius), Year, Statistics, Country, ISO3
20.7, 2001, Dec Average, Vietnam, VNM
20.3, 2002, Jan Average, Vietnam, VNM
22.1, 2002, Feb Average, Vietnam, VNM
23.1, 2002, Mar Average, Vietnam, VNM
26.3, 2002, Apr Average, Vietnam, VNM
26.8, 2002, May Average, Vietnam, VNM
27.6, 2002, Jun Average, Vietnam, VNM
27.4, 2002, Jul Average, Vietnam, VNM
26.7, 2002, Aug Average, Vietnam, VNM
25.7, 2002, Sep Average, Vietnam, VNM
24.9, 2002, Oct Average, Vietnam, VNM
23.2, 2002, Nov Average, Vietnam, VNM
21.9, 2002, Dec Average, Vietnam, VNM
20.0, 2003, Jan Average, Vietnam, VNM
22.1, 2003, Feb Average, Vietnam, VNM
22.3, 2003, Mar Average, Vietnam, VNM
26.4, 2003, Apr Average, Vietnam, VNM
27.6, 2003, May Average, Vietnam, VNM
27.4, 2003, Jun Average, Vietnam, VNM
27.6, 2003, Jul Average, Vietnam, VNM
27.5, 2003, Aug Average, Vietnam, VNM
26.3, 2003, Sep Average, Vietnam, VNM
25.2, 2003, Oct Average, Vietnam, VNM
23.7, 2003, Nov Average, Vietnam, VNM
20.7, 2003, Dec Average, Vietnam, VNM
20.2, 2004, Jan Average, Vietnam, VNM
20.8, 2004, Feb Average, Vietnam, VNM
22.7, 2004, Mar Average, Vietnam, VNM
25.8, 2004, Apr Average, Vietnam, VNM
26.8, 2004, May Average, Vietnam, VNM
27.2, 2004, Jun Average, Vietnam, VNM
27.0, 2004, Jul Average, Vietnam, VNM
27.4, 2004, Aug Average, Vietnam, VNM
26.3, 2004, Sep Average, Vietnam, VNM
24.6, 2004, Oct Average, Vietnam, VNM
23.7, 2004, Nov Average, Vietnam, VNM
20.8, 2004, Dec Average, Vietnam, VNM
19.9, 2005, Jan Average, Vietnam, VNM
22.0, 2005, Feb Average, Vietnam, VNM
21.6, 2005, Mar Average, Vietnam, VNM
25.8, 2005, Apr Average, Vietnam, VNM
27.9, 2005, May Average, Vietnam, VNM
27.8, 2005, Jun Average, Vietnam, VNM
27.4, 2005, Jul Average, Vietnam, VNM
27.1, 2005, Aug Average, Vietnam, VNM
26.6, 2005, Sep Average, Vietnam, VNM
25.3, 2005, Oct Average, Vietnam, VNM
23.8, 2005, Nov Average, Vietnam, VNM
20.4, 2005, Dec Average, Vietnam, VNM
20.5, 2006, Jan Average, Vietnam, VNM
21.8, 2006, Feb Average, Vietnam, VNM
22.6, 2006, Mar Average, Vietnam, VNM
25.8, 2006, Apr Average, Vietnam, VNM
26.6, 2006, May Average, Vietnam, VNM
27.6, 2006, Jun Average, Vietnam, VNM
27.6, 2006, Jul Average, Vietnam, VNM
27.0, 2006, Aug Average, Vietnam, VNM
26.3, 2006, Sep Average, Vietnam, VNM
25.7, 2006, Oct Average, Vietnam, VNM
24.4, 2006, Nov Average, Vietnam, VNM
21.2, 2006, Dec Average, Vietnam, VNM
19.6, 2007, Jan Average, Vietnam, VNM
22.3, 2007, Feb Average, Vietnam, VNM
23.3, 2007, Mar Average, Vietnam, VNM
24.8, 2007, Apr Average, Vietnam, VNM
26.4, 2007, May Average, Vietnam, VNM
27.8, 2007, Jun Average, Vietnam, VNM
27.5, 2007, Jul Average, Vietnam, VNM
26.9, 2007, Aug Average, Vietnam, VNM
26.0, 2007, Sep Average, Vietnam, VNM
24.7, 2007, Oct Average, Vietnam, VNM
22.0, 2007, Nov Average, Vietnam, VNM
22.0, 2007, Dec Average, Vietnam, VNM
19.5, 2008, Jan Average, Vietnam, VNM
18.6, 2008, Feb Average, Vietnam, VNM
22.3, 2008, Mar Average, Vietnam, VNM
25.5, 2008, Apr Average, Vietnam, VNM
26.2, 2008, May Average, Vietnam, VNM
26.8, 2008, Jun Average, Vietnam, VNM
27.0, 2008, Jul Average, Vietnam, VNM
26.9, 2008, Aug Average, Vietnam, VNM
26.5, 2008, Sep Average, Vietnam, VNM
25.6, 2008, Oct Average, Vietnam, VNM
22.5, 2008, Nov Average, Vietnam, VNM
20.5, 2008, Dec Average, Vietnam, VNM
18.8, 2009, Jan Average, Vietnam, VNM
23.1, 2009, Feb Average, Vietnam, VNM
22.7, 2009, Mar Average, Vietnam, VNM
25.2, 2009, Apr Average, Vietnam, VNM
26.4, 2009, May Average, Vietnam, VNM
27.4, 2009, Jun Average, Vietnam, VNM
27.3, 2009, Jul Average, Vietnam, VNM
27.6, 2009, Aug Average, Vietnam, VNM
26.9, 2009, Sep Average, Vietnam, VNM
25.5, 2009, Oct Average, Vietnam, VNM
22.9, 2009, Nov Average, Vietnam, VNM
21.6, 2009, Dec Average, Vietnam, VNM
21.1, 2010, Jan Average, Vietnam, VNM
22.6, 2010, Feb Average, Vietnam, VNM
23.2, 2010, Mar Average, Vietnam, VNM
25.9, 2010, Apr Average, Vietnam, VNM
27.9, 2010, May Average, Vietnam, VNM
27.8, 2010, Jun Average, Vietnam, VNM
27.7, 2010, Jul Average, Vietnam, VNM
27.0, 2010, Aug Average, Vietnam, VNM
26.7, 2010, Sep Average, Vietnam, VNM
24.5, 2010, Oct Average, Vietnam, VNM
22.9, 2010, Nov Average, Vietnam, VNM
21.5, 2010, Dec Average, Vietnam, VNM
18.4, 2011, Jan Average, Vietnam, VNM
21.2, 2011, Feb Average, Vietnam, VNM
20.0, 2011, Mar Average, Vietnam, VNM
24.8, 2011, Apr Average, Vietnam, VNM
26.5, 2011, May Average, Vietnam, VNM
27.4, 2011, Jun Average, Vietnam, VNM
27.4, 2011, Jul Average, Vietnam, VNM
27.1, 2011, Aug Average, Vietnam, VNM
26.2, 2011, Sep Average, Vietnam, VNM
24.6, 2011, Oct Average, Vietnam, VNM
23.8, 2011, Nov Average, Vietnam, VNM
20.2, 2011, Dec Average, Vietnam, VNM
19.8, 2012, Jan Average, Vietnam, VNM
21.1, 2012, Feb Average, Vietnam, VNM
22.5, 2012, Mar Average, Vietnam, VNM
26.2, 2012, Apr Average, Vietnam, VNM
27.4, 2012, May Average, Vietnam, VNM
27.4, 2012, Jun Average, Vietnam, VNM
27.3, 2012, Jul Average, Vietnam, VNM
27.3, 2012, Aug Average, Vietnam, VNM
26.2, 2012, Sep Average, Vietnam, VNM
25.5, 2012, Oct Average, Vietnam, VNM
24.3, 2012, Nov Average, Vietnam, VNM
22.0, 2012, Dec Average, Vietnam, VNM
20.2, 2013, Jan Average, Vietnam, VNM
22.6, 2013, Feb Average, Vietnam, VNM
23.7, 2013, Mar Average, Vietnam, VNM
25.8, 2013, Apr Average, Vietnam, VNM
27.4, 2013, May Average, Vietnam, VNM
27.5, 2013, Jun Average, Vietnam, VNM
27.0, 2013, Jul Average, Vietnam, VNM
27.1, 2013, Aug Average, Vietnam, VNM
26.0, 2013, Sep Average, Vietnam, VNM
24.6, 2013, Oct Average, Vietnam, VNM
23.5, 2013, Nov Average, Vietnam, VNM
19.1, 2013, Dec Average, Vietnam, VNM
19.2, 2014, Jan Average, Vietnam, VNM
20.8, 2014, Feb Average, Vietnam, VNM
22.9, 2014, Mar Average, Vietnam, VNM
26.2, 2014, Apr Average, Vietnam, VNM
27.9, 2014, May Average, Vietnam, VNM
27.9, 2014, Jun Average, Vietnam, VNM
27.6, 2014, Jul Average, Vietnam, VNM
27.2, 2014, Aug Average, Vietnam, VNM
26.9, 2014, Sep Average, Vietnam, VNM
25.5, 2014, Oct Average, Vietnam, VNM
24.1, 2014, Nov Average, Vietnam, VNM
20.7, 2014, Dec Average, Vietnam, VNM
20.0, 2015, Jan Average, Vietnam, VNM
21.5, 2015, Feb Average, Vietnam, VNM
23.3, 2015, Mar Average, Vietnam, VNM
25.7, 2015, Apr Average, Vietnam, VNM
28.4, 2015, May Average, Vietnam, VNM
28.5, 2015, Jun Average, Vietnam, VNM
27.5, 2015, Jul Average, Vietnam, VNM
27.5, 2015, Aug Average, Vietnam, VNM
26.9, 2015, Sep Average, Vietnam, VNM
25.3, 2015, Oct Average, Vietnam, VNM
24.9, 2015, Nov Average, Vietnam, VNM
21.9, 2015, Dec Average, Vietnam, VNM
20.3, 2016, Jan Average, Vietnam, VNM
20.0, 2016, Feb Average, Vietnam, VNM
22.8, 2016, Mar Average, Vietnam, VNM
27.1, 2016, Apr Average, Vietnam, VNM
28.0, 2016, May Average, Vietnam, VNM
28.0, 2016, Jun Average, Vietnam, VNM
27.9, 2016, Jul Average, Vietnam, VNM
27.4, 2016, Aug Average, Vietnam, VNM
26.8, 2016, Sep Average, Vietnam, VNM
25.9, 2016, Oct Average, Vietnam, VNM
24.1, 2016, Nov Average, Vietnam, VNM
22.0, 2016, Dec Average, Vietnam, VNM
21.4, 2017, Jan Average, Vietnam, VNM
21.1, 2017, Feb Average, Vietnam, VNM
22.4, 2017, Mar Average, Vietnam, VNM
25.2, 2017, Apr Average, Vietnam, VNM
26.8, 2017, May Average, Vietnam, VNM
27.5, 2017, Jun Average, Vietnam, VNM
27.1, 2017, Jul Average, Vietnam, VNM
27.4, 2017, Aug Average, Vietnam, VNM
27.3, 2017, Sep Average, Vietnam, VNM
25.3, 2017, Oct Average, Vietnam, VNM
23.3, 2017, Nov Average, Vietnam, VNM
21.0, 2017, Dec Average, Vietnam, VNM
20.4, 2018, Jan Average, Vietnam, VNM
20.4, 2018, Feb Average, Vietnam, VNM
22.7, 2018, Mar Average, Vietnam, VNM
25.1, 2018, Apr Average, Vietnam, VNM
27.2, 2018, May Average, Vietnam, VNM
27.3, 2018, Jun Average, Vietnam, VNM
27.3, 2018, Jul Average, Vietnam, VNM
27.0, 2018, Aug Average, Vietnam, VNM
26.7, 2018, Sep Average, Vietnam, VNM
25.2, 2018, Oct Average, Vietnam, VNM
24.1, 2018, Nov Average, Vietnam, VNM
22.2, 2018, Dec Average, Vietnam, VNM
20.9, 2019, Jan Average, Vietnam, VNM
22.7, 2019, Feb Average, Vietnam, VNM
23.3, 2019, Mar Average, Vietnam, VNM
26.9, 2019, Apr Average, Vietnam, VNM
27.8, 2019, May Average, Vietnam, VNM
28.1, 2019, Jun Average, Vietnam, VNM
27.9, 2019, Jul Average, Vietnam, VNM
27.6, 2019, Aug Average, Vietnam, VNM
26.6, 2019, Sep Average, Vietnam, VNM
25.8, 2019, Oct Average, Vietnam, VNM
24.0, 2019, Nov Average, Vietnam, VNM
21.4, 2019, Dec Average, Vietnam, VNM
21.8, 2020, Jan Average, Vietnam, VNM
21.9, 2020, Feb Average, Vietnam, VNM
23.7, 2020, Mar Average, Vietnam, VNM
25.2, 2020, Apr Average, Vietnam, VNM
28.3, 2020, May Average, Vietnam, VNM
28.2, 2020, Jun Average, Vietnam, VNM
28.1, 2020, Jul Average, Vietnam, VNM
27.5, 2020, Aug Average, Vietnam, VNM
27.0, 2020, Sep Average, Vietnam, VNM
24.3, 2020, Oct Average, Vietnam, VNM
23.7, 2020, Nov Average, Vietnam, VNM
20.9, 2020, Dec Average, Vietnam, VNM
